C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=362294200953208832.0000, content_loss=      0.0000, style loss=362294208000000000.0000, tv loss=3572966.0000
L-BFGS | iteration: 001, total loss=362293822996086784.0000, content_loss=    157.0070, style loss=362293824000000000.0000, tv loss=3572967.0000
L-BFGS | iteration: 002, total loss=362294063514255360.0000, content_loss=    205.0228, style loss=362294054400000000.0000, tv loss=3572975.7500
L-BFGS | iteration: 003, total loss=362290730619633664.0000, content_loss=    256.6480, style loss=362290713600000000.0000, tv loss=3573019.5000
L-BFGS | iteration: 004, total loss=362278017516437504.0000, content_loss=    537.3919, style loss=362278003200000000.0000, tv loss=3573261.0000
L-BFGS | iteration: 005, total loss=362204968712667136.0000, content_loss=   6702.7278, style loss=362204966400000000.0000, tv loss=3574589.0000
L-BFGS | iteration: 006, total loss=361793785723617280.0000, content_loss= 190218.0433, style loss=361793779200000000.0000, tv loss=3581901.0000
L-BFGS | iteration: 007, total loss=359640082962972672.0000, content_loss=5440331.2683, style loss=359640076800000000.0000, tv loss=3622144.5000
L-BFGS | iteration: 008, total loss=328378184246493184.0000, content_loss=343934155.2734, style loss=328378176000000000.0000, tv loss=4504864.5000
L-BFGS | iteration: 009, total loss=283393074745311232.0000, content_loss=826530078.1250, style loss=283393075200000000.0000, tv loss=6500282.5000
L-BFGS | iteration: 010, total loss=201792870829522944.0000, content_loss=1826607031.2500, style loss=201792864000000000.0000, tv loss=12556446.0000
L-BFGS | iteration: 011, total loss=163615009614594048.0000, content_loss=3150249609.3750, style loss=163615008000000000.0000, tv loss=21179844.0000
L-BFGS | iteration: 012, total loss=128087143221297152.0000, content_loss=3261388085.9375, style loss=128087145600000000.0000, tv loss=24220732.0000
